Feature.ID	Aqm_1_02_23	Aqm_1_02_28	Aqm_1_03_06	Aqm_1_03_13	Aqm_1_03_20	Aqm_1_03_27	Aqm_1_05_01	Aqm_1_06_05	Aqm_1_07_18	Aqm_1_08_13	Aqm_1_09_11	Aqm_1_10_10	Aqm_10_02_23	Aqm_10_02_28	Aqm_10_03_06	Aqm_10_03_13	Aqm_10_03_20	Aqm_10_03_27	Aqm_10_05_01	Aqm_10_06_05	Aqm_10_07_18	Aqm_10_08_13	Aqm_10_09_11	Aqm_10_10_10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium	444	235	136	1017	153	70	25	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter	0	0	50	90	159	35	0	12	0	0	0	0	28	0	22	62	52	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group	0	0	5	112	398	180	25	12	0	0	0	0	0	4	168	545	621	223	17	0	0	0	3	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera	0	0	0	0	0	17	0	0	0	12	29	123	0	0	0	767	1325	2027	74	21	23	7	6	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	0	0	75	16	37	0	10	18	6	5	0	0	826	280	111	62	47	79	35	0	0	0	25	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus	121	78	85	327	75	35	0	0	0	0	0	0	9	14	14	11	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__OLB12	0	0	0	0	0	0	0	5	0	0	48	11	0	0	0	0	9	18	858	157	185	289	70	448
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter	0	8	28	31	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella	0	24	35	36	32	31	0	0	0	0	0	0	0	211	18	12	16	3	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	299	252	388	184	363	107	113	313	167	103	51	132	133	138	90	26	56	100	0	6	17	53	63	108
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured	0	0	0	0	0	0	0	0	0	2	7	4	0	0	0	0	0	0	48	25	97	64	189	207
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	170	195	145	53	16	3	7	6	3	402	323	332	235	140	46	31	29	19	0	0	0	0	0	8
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaeraceae	0	0	0	0	0	0	15	203	115	113	276	460	0	0	0	0	0	0	12	189	78	121	109	999
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__uncultured	0	0	0	0	0	190	200	162	48	36	14	46	0	0	0	0	0	228	22	51	22	14	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	5	0	3	0	0	0	0	7	0	2	3	0	378	233	174	65	96	97	0	0	0	2	12	27
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	67	122	26	103	95	17	45	28	115	102	358
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia	0	0	0	0	0	0	0	46	0	9	0	0	0	0	0	0	0	24	49	109	128	33	0	20
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Pelagicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group;g__NS11-12_marine_group	0	0	0	0	5	19	27	31	0	5	0	29	0	0	0	89	80	41	64	87	947	158	6	87
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae	0	0	0	0	0	0	7	182	161	215	160	238	0	0	0	0	5	55	229	97	227	257	241	112
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Schlesneriaceae;g__Planctopirus	6	0	0	0	0	0	0	18	57	491	158	81	0	0	0	0	0	0	76	9	16	93	311	291
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;__	0	0	15	34	98	160	60	73	12	12	0	9	0	0	87	85	90	143	18	8	7	5	0	0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24	0	0	0	0	0	0	88	89	19	666	2693	1871	0	0	0	0	0	5	559	151	36	41	3	25
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Flectobacillus	33	46	61	10	10	10	3	0	0	2	0	0	169	240	126	7	8	8	4	0	0	0	2	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	19	74	133	108	76	36	29	21	29	32	46	47	39	36	23	30	0	9	27	0	0	8	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	67	67	656	350
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Brevifollis	0	0	0	0	0	3	4	109	16	10	32	75	0	0	0	0	2	180	71	9	6	4	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera	123	40	24	28	494	2089	679	891	186	95	55	23	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__OM60(NOR5)_clade	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	13	36	104	16	91	75	442	325
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Obscuribacteraceae	0	0	0	0	0	3	53	59	17	28	168	228	7	0	0	0	0	4	85	12	86	29	0	421
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudohongiellaceae;g__Pseudohongiella	0	0	0	0	0	0	47	41	0	5	0	16	0	0	11	497	451	365	46	11	4	0	0	0
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__MBNT15	0	0	0	0	0	0	0	0	0	47	316	282	0	0	0	0	0	0	35	3	155	128	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herminiimonas	0	161	32	0	0	0	9	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Haliscomenobacter	0	0	0	0	0	0	66	11	21	3	0	2	0	0	0	0	0	11	36	0	0	55	10	18
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	0	0	0	0	19	0	0	0	0	0	0	0	38	67	47	19	0	17	0	11	20	22	19	175
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__Ga0077536	0	0	0	0	0	0	30	160	39	51	97	120	0	0	0	0	0	0	37	13	18	8	79	38
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhizobacter	0	0	53	0	0	0	0	0	0	0	0	0	0	0	78	94	45	0	0	0	0	0	0	0
